Date,Con,Lab,Lib Dem,SNP,Green,Reform
21 Jun 2021,44%,33%,10%,4%,4%,3%
20 Jun 2021,44%,30%,10%,4%,5%,1%
20 Jun 2021,41%,35%,10%,2%,5%,2%
17 Jun 2021,45%,31%,6%,5%,7%,4%
15 Jun 2021,41%,33%,8%,4%,7%,-
14 Jun 2021,45%,34%,5%,5%,7%,3%
13 Jun 2021,44%,34%,9%,4%,5%,2%
13 Jun 2021,41%,34%,8%,5%,6%,2%
12 Jun 2021,46%,34%,7%,2%,5%,2%
11 Jun 2021,43%,34%,6%,6%,7%,-
10 Jun 2021,44%,31%,7%,5%,9%,2%
10 Jun 2021,42%,35%,9%,4%,5%,-
7 Jun 2021,43%,36%,7%,5%,5%,1%
7 Jun 2021,45%,32%,8%,4%,6%,2%
6 Jun 2021,44%,32%,8%,4%,5%,2%
3 Jun 2021,46%,30%,6%,4%,9%,2%
 3 Jun 2021,44%,35%,6%,5%,7%,0%
2 Jun 2021,41%,33%,9%,4%,6%,-
30 May 2021,42%,32%,9%,4%,5%,2%
28 May 2021,42%,36%,6%,5%,5%,1%
28 May 2021,43%,29%,8%,5%,8%,3%
28 May 2021,43%,33%,10%,5%,5%,-
28 May 2021,44%,32%,7%,5%,8%,2%
26 May 2021,44%,33%,8%,4%,6%,-
24 May 2021,43%,33%,10%,4%,5%,3%
23 May 2021,43%,34%,9%,4%,4%,2%
20 May 2021,46%,28%,8%,5%,8%,2%
17 May 2021,42%,33%,10%,4%,6%,2%
16 May 2021,43%,32%,8%,4%,5%,2%
15 May 2021,43%,30%,11%,5%,9%,2%
14 May 2021,44%,31%,8%,5%,7%,0%
12 May 2021,45%,30%,7%,5%,8%,2%
10 May 2021,45%,34%,8%,4%,5%,2%
9 May 2021,42%,34%,8%,5%,4%,2%
5 May 2021,43%,33%,7%,5%,6%,3%
5 May 2021,45%,36%,6%,4%,5%,-
3 May 2021,40%,38%,7%,4%,5%,3%
 2 May 2021,40%,36%,8%,4%,4%,2%
30 Apr 2021,40%,39%,6%,4%,4%,3%
30 Apr 2021,42%,37%,7%,5%,4%,0%
29 Apr 2021,43%,34%,5%,5%,7%,2%
29 Apr 2021,39%,38%,9%,4%,6%,-
28 Apr 2021,44%,33%,7%,4%,7%,3%
26 Apr 2021,44%,34%,8%,5%,4%,3%
26 Apr 2021,41%,33%,10%,5%,7%,3%
26 Apr 2021,39%,35%,9%,4%,6%,3%
25 Apr 2021,42%,35%,8%,5%,3%,2%
23 Apr 2021,44%,33%,7%,6%,5%,0%
22 Apr 2021,44%,34%,5%,5%,7%,2%
22 Apr 2021,40%,37%,8%,6%,5%,2%
19 Apr 2021,44%,34%,10%,4%,4%,3%
19 Apr 2021,40%,34%,9%,4%,7%,-
18 Apr 2021,43%,34%,7%,5%,4%,1%
14 Apr 2021,43%,29%,8%,5%,8%,3%
12 Apr 2021,43%,36%,7%,4%,5%,3%
11 Apr 2021,42%,35%,7%,5%,4%,2%
10 Apr 2021,43%,35%,8%,3%,4%,-
10 Apr 2021,45%,36%,6%,2%,4%,4%
9 Apr 2021,45%,36%,6%,6%,4%,0%
8 Apr 2021,41%,34%,6%,5%,6%,3%
5 Apr 2021,44%,34%,9%,4%,5%,2%
4 Apr 2021,42%,35%,8%,4%,3%,2%
 1 Apr 2021,42%,34%,7%,5%,6%,3%
29 Mar 2021,44%,36%,7%,4%,4%,2%
29 Mar 2021,42%,34%,9%,7%,4%,2%
27 Mar 2021,44%,36%,6%,2%,4%,3%
26 Mar 2021,42%,32%,8%,5%,7%,3%
26 Mar 2021,41%,37%,6%,6%,5%,1%
22 Mar 2021,42%,36%,9%,4%,6%,2%
21 Mar 2021,42%,38%,6%,4%,3%,2%
19 Mar 2021,43%,34%,5%,5%,7%,3%
19 Mar 2021,39%,37%,9%,4%,6%,3%
16 Mar 2021,42%,37%,7%,5%,5%,2%
15 Mar 2021,43%,36%,7%,4%,5%,3%
14 Mar 2021,39%,37%,8%,4%,4%,3%
12 Mar 2021,43%,37%,6%,5%,4%,0%
12 Mar 2021,45%,38%,6%,5%,5%,0%
10 Mar 2021,42%,33%,7%,4%,6%,3%
10 Mar 2021,43%,33%,9%,5%,5%,1%
8 Mar 2021,45%,36%,7%,4%,4%,3%
7 Mar 2021,42%,36%,8%,4%,4%,3%
4 Mar 2021,45%,32%,6%,5%,7%,3%
1 Mar 2021,44%,38%,7%,4%,3%,2%
28 Feb 2021,43%,36%,7%,4%,3%,3%
26 Feb 2021,41%,36%,5%,5%,7%,3%
26 Feb 2021,42%,38%,6%,2%,4%,3%
26 Feb 2021,43%,36%,7%,6%,4%,0%
25 Feb 2021,42%,34%,7%,5%,6%,-
22 Feb 2021,43%,37%,7%,4%,5%,3%
22 Feb 2021,40%,33%,11%,4%,6%,3%
21 Feb 2021,40%,38%,7%,4%,3%,3%
18 Feb 2021,40%,37%,7%,5%,6%,3%
15 Feb 2021,41%,39%,8%,5%,5%,2%
14 Feb 2021,42%,37%,7%,4%,3%,2%
12 Feb 2021,42%,37%,6%,5%,5%,0%
10 Feb 2021,41%,36%,6%,5%,7%,3%
8 Feb 2021,43%,38%,7%,5%,4%,2%
7 Feb 2021,41%,37%,8%,4%,4%,2%
6 Feb 2021,39%,33%,9%,5%,7%,-
 4 Feb 2021,42%,38%,7%,5%,8%,0%
3 Feb 2021,41%,37%,6%,5%,6%,3%
2 Feb 2021,39%,38%,7%,6%[d],6%,3%
1 Feb 2021,40%,38%,8%,5%,4%,3%
 1 Feb 2021,43%,37%,5%,5%,5%,3%
31 Jan 2021,41%,38%,6%,5%,3%,2%
29 Jan 2021,41%,38%,7%,5%,4%,1%
27 Jan 2021,37%,41%,6%,5%,4%,3%
25 Jan 2021,42%,37%,8%,5%,4%,3%
25 Jan 2021,40%,37%,10%,4%,5%,2%
24 Jan 2021,40%,37%,8%,5%,3%,2%
23 Jan 2021,41%,39%,7%,4%,3%,2%
22 Jan 2021,39%,38%,5%,5%,6%,4%
18 Jan 2021,40%,38%,8%,4%,5%,2%
17 Jan 2021,39%,37%,7%,5%,3%,2%
15 Jan 2021,37%,41%,6%,6%,4%,-
14 Jan 2021,38%,39%,5%,5%,6%,3%
13 Jan 2021,40%,38%,7%,4%,5%,1%
11 Jan 2021,41%,37%,8%,5%,5%,2%
10 Jan 2021,40%,37%,8%,4%,4%,2%
7 Jan 2021,39%,40%,6%,5%,4%,-
5 Jan 2021,39%,39%,6%,5%,6%,3%
30 Dec 2020,43%,38%,4%,5%,5%,3%
29 Dec 2020,36%,38%,9%,4%,7%,4%
22 Dec 2020,39%,38%,8%,5%,4%,1%
22 Dec 2020,37%,41%,5%,5%,5%,4%
21 Dec 2020,41%,39%,8%,5%,4%,2%
17 Dec 2020,39%,39%,6%,5%,4%,-
16 Dec 2020,39%,37%,6%,5%,6%,4%
14 Dec 2020,38%,37%,10%,5%,3%,3%
13 Dec 2020,38%,37%,8%,5%,5%,4%
10 Dec 2020,41%,41%,6%,5%,5%,0%
10 Dec 2020,39%,37%,8%,5%,5%,1%
9 Dec 2020,37%,37%,8%,5%,6%,5%
 8 Dec 2020,40%,38%,6%,5%,4%,0%
4 Dec 2020,38%,40%,6%,6%,3%,-
3 Dec 2020,38%,38%,6%,5%,5%,3%
2 Dec 2020,40%,37%,9%,5%,6%,-
29 Nov 2020,39%,38%,8%,5%,3%,3%
28 Nov 2020,37%,38%,9%,4%,4%,3%
28 Nov 2020,39%,37%,7%,5%,5%,4%
27 Nov 2020,37%,40%,5%,6%,5%,5%
22 Nov 2020,39%,37%,7%,5%,4%,3%
20 Nov 2020,41%,38%,6%,6%,4%,-
19 Nov 2020,40%,39%,8%,5%,4%,-
18 Nov 2020,38%,37%,7%,6%,6%,4%
15 Nov 2020,41%,38%,5%,5%,4%,2%
12 Nov 2020,38%,40%,5%,5%,5%,4%
11 Nov 2020,40%,40%,7%,5%,5%,-
9 Nov 2020,40%,36%,8%,5%,5%,2%
9 Nov 2020,40%,36%,8%,5%,5%,2%
6 Nov 2020,38%,42%,7%,5%,3%,-
6 Nov 2020,39%,37%,9%,5%,4%,2%
5 Nov 2020,35%,40%,7%,5%,4%,6%
 2 Nov 2020,40%,40%,7%,5%,3%,2%
29 Oct 2020,38%,38%,6%,5%,5%,4%
28 Oct 2020,39%,41%,7%,4%,4%,-
28 Oct 2020,37%,42%,8%,6%,5%,1%
26 Oct 2020,42%,39%,7%,4%,3%,2%
24 Oct 2020,42%,39%,7%,3%,3%,3%
23 Oct 2020,38%,40%,6%,5%,5%,-
22 Oct 2020,40%,39%,7%,5%,5%,3%
21 Oct 2020,40%,40%,7%,5%,4%,-
18 Oct 2020,42%,36%,8%,4%,3%,2%
17 Oct 2020,41%,38%,5%,5%,6%,4%
15 Oct 2020,39%,38%,6%,5%,6%,5%
11 Oct 2020,39%,39%,7%,5%,4%,3%
9 Oct 2020,40%,40%,6%,6%,3%,-
7 Oct 2020,41%,39%,8%,4%,4%,-
7 Oct 2020,41%,38%,5%,5%,6%,3%
6 Oct 2020,41%,37%,7%,4%,4%,1%
4 Oct 2020,42%,39%,7%,4%,3%,2%
 1 Oct 2020,39%,39%,8%,5%,5%,-
30 Sep 2020,39%,39%,6%,5%,5%,4%
28 Sep 2020,41%,38%,8%,5%,3%,2%
25 Sep 2020,42%,38%,6%,5%,4%,3%
25 Sep 2020,39%,42%,5%,6%,4%,-
24 Sep 2020,41%,38%,6%,4%,5%,3%
23 Sep 2020,40%,40%,7%,4%,5%,-
21 Sep 2020,40%,38%,9%,4%,4%,3%
20 Sep 2020,40%,37%,8%,5%,3%,3%
18 Sep 2020,40%,37%,8%,7%,5%,0%
17 Sep 2020,40%,40%,6%,4%,5%,3%
16 Sep 2020,40%,38%,7%,5%,4%,1%
16 Sep 2020,41%,39%,8%,5%,5%,-
11 Sep 2020,42%,39%,6%,5%,4%,-
9 Sep 2020,42%,37%,6%,5%,4%,3%
8 Sep 2020,42%,38%,6%,5%,5%,2%
4 Sep 2020,43%,37%,6%,6%,4%,3%
4 Sep 2020,40%,38%,8%,5%,4%,1%
2 Sep 2020,43%,37%,8%,4%,4%,-
28 Aug 2020,40%,40%,6%,5%,3%,-
25 Aug 2020,43%,36%,6%,5%,4%,3%
24 Aug 2020,42%,37%,9%,4%,5%,-
21 Aug 2020,41%,37%,9%,5%,4%,1%
19 Aug 2020,44%,37%,7%,4%,4%,-
19 Aug 2020,40%,38%,6%,5%,6%,4%
16 Aug 2020,42%,37%,7%,4%,3%,2%
14 Aug 2020,42%,39%,5%,5%,3%,-
12 Aug 2020,43%,36%,9%,4%,4%,-
12 Aug 2020,44%,35%,5%,6%,5%,3%
10 Aug 2020,42%,35%,8%,6%,3%,3%
5 Aug 2020,42%,36%,8%,5%,5%,2%
 4 Aug 2020,45%,37%,6%,5%,5%,1%
 3 Aug 2020,44%,35%,8%,4%,5%,0%
31 Jul 2020,43%,35%,6%,5%,5%,3%
31 Jul 2020,41%,38%,6%,6%,4%,-
29 Jul 2020,43%,38%,7%,4%,4%,-
24 Jul 2020,42%,38%,6%,5%,4%,-
23 Jul 2020,44%,35%,7%,5%,4%,3%
22 Jul 2020,44%,36%,8%,4%,5%,-
19 Jul 2020,43%,37%,6%,5%,2%,2%
17 Jul 2020,44%,36%,6%,6%,4%,-
15 Jul 2020,44%,37%,8%,4%,4%,-
13 Jul 2020,45%,35%,9%,5%,2%,2%
12 Jul 2020,42%,36%,8%,4%,5%,1%
10 Jul 2020,42%,38%,6%,6%,4%,-
10 Jul 2020,44%,38%,7%,3%,3%,3%
9 Jul 2020,46%,36%,6%,5%,3%,2%
8 Jul 2020,44%,39%,7%,4%,4%,-
6 Jul 2020,44%,37%,7%,4%,4%,0%
3 Jul 2020,41%,36%,7%,3%,5%,4%
3 Jul 2020,41%,37%,8%,5%,4%,-
1 Jul 2020,42%,38%,8%,4%,5%,-
28 Jun 2020,45%,37%,5%,5%,4%,2%
26 Jun 2020,43%,39%,6%,5%,4%,-
25 Jun 2020,44%,38%,7%,4%,4%,-
25 Jun 2020,43%,36%,8%,5%,4%,0%
19 Jun 2020,44%,40%,5%,5%,3%,-
18 Jun 2020,43%,38%,8%,4%,4%,-
15 Jun 2020,43%,35%,8%,5%,4%,2%
14 Jun 2020,40%,36%,9%,5%,3%,3%
12 Jun 2020,44%,39%,6%,5%,2%,-
12 Jun 2020,45%,37%,6%,5%,4%,2%
11 Jun 2020,41%,39%,9%,5%,4%,-
10 Jun 2020,42%,36%,8%,5%,4%,1%
10 Jun 2020,43%,38%,10%,4%,1%,3%
5 Jun 2020,43%,40%,6%,5%,3%,-
5 Jun 2020,41%,38%,8%,2%,4%,3%
3 Jun 2020,41%,39%,7%,4%,4%,1%
3 Jun 2020,43%,36%,9%,4%,5%,-
30 May 2020,45%,35%,6%,5%,5%,2%
29 May 2020,43%,39%,6%,5%,3%,-
28 May 2020,43%,38%,8%,3%,4%,2%
27 May 2020,43%,37%,9%,5%,3%,-
27 May 2020,43%,38%,6%,5%,4%,3%
26 May 2020,44%,38%,6%,5%,4%,2%
26 May 2020,46%,33%,8%,5%,4%,0%
22 May 2020,47%,35%,6%,5%,3%,-
19 May 2020,48%,33%,6%,5%,5%,2%
17 May 2020,46%,33%,7%,4%,4%,2%
15 May 2020,47%,35%,9%,4%,3%,-
14 May 2020,49%,34%,6%,5%,3%,-
11 May 2020,51%,32%,7%,5%,2%,2%
7 May 2020,49%,33%,6%,5%,5%,0%
6 May 2020,50%,31%,7%,4%,5%,-
6 May 2020,50%,30%,7%,4%,5%,3%
 1 May 2020,51%,33%,6%,5%,3%,0%
28 Apr 2020,48%,31%,8%,4%,5%,1%
26 Apr 2020,50%,33%,7%,5%,4%,-
23 Apr 2020,50%,33%,7%,5%,3%,0%
20 Apr 2020,54%,28%,9%,4%,4%,1%
17 Apr 2020,52%,31%,8%,4%,3%,-
17 Apr 2020,53%,32%,5%,4%,3%,1%
17 Apr 2020,51%,32%,6%,5%,3%,0%
9 Apr 2020,55%,29%,5%,5%,4%,0%
9 Apr 2020,46%,29%,10%,3%,6%,2%
3 Apr 2020,53%,30%,7%,5%,3%,0%
2 Apr 2020,49%,29%,8%,4%,4%,-
2 Apr 2020,52%,28%,8%,5%,5%,1%
27 Mar 2020,54%,28%,6%,5%,3%,0%
26 Mar 2020,54%,28%,7%,4%,4%,2%
23 Mar 2020,47%,29%,8%,5%,5%,-
20 Mar 2020,51%,31%,7%,5%,3%,0%
16 Mar 2020,52%,30%,9%,4%,4%,0%
13 Mar 2020,49%,32%,6%,5%,5%,0%
9 Mar 2020,50%,29%,11%,4%,1%,2%
6 Mar 2020,45%,28%,11%,3%,6%,3%
20 Feb 2020,47%,31%,9%,4%,4%,3%
14 Feb 2020,47%,32%,7%,6%,4%,2%
12 Feb 2020,49%,31%,9%,4%,4%,-
10 Feb 2020,48%,28%,10%,4%,6%,2%
7 Feb 2020,41%,29%,11%,5%,8%,3%
 3 Feb 2020,47%,30%,11%,4%,5%,1%
 2 Feb 2020,49%,30%,8%,4%,5%,2%
31 Jan 2020,44%,33%,10%,5%,3%,3%
26 Jan 2020,49%,29%,10%,5%,4%,2%
17 Jan 2020,47%,30%,9%,5%,4%,3%
10 Jan 2020,44%,29%,11%,3%,5%,4%
12 Dec 2019,44.7%,32.9%,11.8%,4.0%,2.8%,2.1%
